year,month,day,hour,NCP kW,CP kW,kWh
2018,2,8,4,3336,,
2018,2,8,5,3264,,
2018,2,8,6,3528,,
2018,2,8,7,4272,,
2018,2,8,8,4440,,
2018,2,8,9,4368,,
2018,2,8,10,4584,,
2018,2,8,11,4440,,
2018,2,8,12,4320,,
2018,2,8,13,4296,,
2018,2,8,14,4872,,
2018,2,8,15,5280,,
2018,2,8,16,4992,,
2018,2,8,17,4584,,
2018,2,8,18,4152,,
2018,2,8,19,4512,,
2018,2,8,20,4656,,
2018,2,8,21,4776,,
2018,2,8,22,4680,,
2018,2,8,23,4560,,
2018,2,8,24,4344,,
2018,2,9,1,4224,,
2018,2,9,2,4080,,
2018,2,9,3,3912,,
2018,2,9,4,4056,,
2018,2,9,5,4056,,
2018,2,9,6,4320,,
2018,2,9,7,4992,,
2018,2,9,8,5040,,
2018,2,9,9,4896,,
2018,2,9,10,4608,,
2018,2,9,11,4320,,
2018,2,9,12,4080,,
2018,2,9,13,4008,,
2018,2,9,14,3696,,
2018,2,9,15,3576,,
2018,2,9,16,3648,,
2018,2,9,17,3696,,
2018,2,9,18,3816,,
2018,2,9,19,4080,,
2018,2,9,20,4200,,
2018,2,9,21,4200,,
